Codigo Communidad,Communidad,Codigo Provincia,Provincia
AN,Andalucía,AL,Almería
AN,Andalucía,CA,Cádiz
AN,Andalucía,CO,Córdoba
AN,Andalucía,GR,Granada
AN,Andalucía,H,Huelva
AN,Andalucía,J,Jaén
AN,Andalucía,MA,Málaga
AN,Andalucía,SE,Sevilla
AR,Aragón,HU,Huesca
AR,Aragón,TE,Teruel
AR,Aragón,Z,Zaragoza
AS,Asturias,O,Asturias
CB,Cantabria,S,Cantabria
CL,Castilla y León,AV,Ávila
CL,Castilla y León,BU,Burgos
CL,Castilla y León,LE,León
CL,Castilla y León,P,Palencia
CL,Castilla y León,SA,Salamanca
CL,Castilla y León,SG,Segovia
CL,Castilla y León,SO,Soria
CL,Castilla y León,VA,Valladolid
CL,Castilla y León,ZA,Zamora
CM,Castilla-La Mancha,AB,Albacete
CM,Castilla-La Mancha,CR,Ciudad Real
CM,Castilla-La Mancha,CU,Cuenca
CM,Castilla-La Mancha,GU,Guadalajara
CM,Castilla-La Mancha,TO,Toledo
CN,Canarias,GC,Las Palmas
CN,Canarias,TF,Santa Cruz de Tenerife
CT,Catalunya,B,Barcelona
CT,Catalunya,GI,Girona
CT,Catalunya,L,Lleida
CT,Catalunya,T,Tarragona
EX,Extremadura,BA,Badajoz
EX,Extremadura,CC,Cáceres
GA,Galicia,C,A Coruña
GA,Galicia,LU,Lugo
GA,Galicia,OR,Ourense
GA,Galicia,PO,Pontevedra
IB,Illes Balears,PM,Balears
MC,Murcia,MU,Murcia
MD,Madrid,M,Madrid
NC,Navarra,NA,Navarra
PV,País Vasco,VI,Álava
PV,País Vasco,BI,Bizkaia
PV,País Vasco,SS,Gipuzkoa
RI,La Rioja,LO,La Rioja
VC,Valenciana,A,Alicante
VC,Valenciana,CS,Castellón
VC,Valenciana,V,Valencia
